PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata,Origin_File,Region,PSA_Score,Notice_Style
1,Governance,Public Service Delivery,EACC and Bungoma County Leadership Unite to Champion Integrity in Public Service,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
2,Governance,Public Service Delivery,EACC Recovers Prime Government Properties Grabbed In Kakamega,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
3,Governance,Public Service Delivery,"EACC launches a compliance risks monitoring exercise in the implementation of dam projects in the Ministry of Water, Sanitation and Irrigation.",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
4,Governance,Public Service Delivery,EACC Hosts Key Eastern Africa Anti-Corruption Forum,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
5,Governance,Public Service Delivery,EACC Awarded for Diversity and Inclusivity,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
6,Governance,Public Service Delivery,"SRC, EACC Sign Good Governance Pact",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
7,Governance,Public Service Delivery,EACC Holds First Ever Women in Leadership Forum,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
8,Governance,Public Service Delivery,"Ethics and Anti-Corruption Commission gathers information on corruption occurring in Government and the public Sector from a variety of sources. These sources include members of the public, heads of government departments and agencies, officials working in both the public and private sectors and the media.",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
9,Governance,Public Service Delivery,"The reports can be made at the EACC headquarter (Integrity Center), our regional offices and all Huduma Centers countrywide.",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
10,Governance,Public Service Delivery,"Since 2003, EACC has secured convictions in Court, enhanced financial investigations and recovered assets acquired from corruption as a deterrence strategy. This has been achieved through proactive disruptions, robust prosecution of recovery cases and enhanced use of Alternative Dispute Resolution (ADR)",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
11,Governance,Public Service Delivery,The latest news and headlines from the Ethics and Anti-Corruption Commission.,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
12,Governance,Public Service Delivery,"EACC, Chinese anti-corruption agency explore closer…",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
13,Governance,Public Service Delivery,EACC CEO calls for stronger regional…,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
14,Governance,Public Service Delivery,07:07:2026: The Ethics and Anti-Corruption Commission (EACC) Chief…,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
15,Governance,Public Service Delivery,06:07:2026: The Ethics and Anti-Corruption Commission (EACC) will…,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
16,Governance,Public Service Delivery,"EACC, CAJ strengthen partnership to advance…",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
17,Governance,Public Service Delivery,CAJ Vice Chairperson Ms. Dorothy Jemator with EACC…,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
18,Governance,Public Service Delivery,"Information can be provided to EACC in writing, by telephone or by presenting it personally to the Commission's Report Centre at Integrity Centre in Nairobi and any of our Regional Offices. The Commission's contact details are listed below. One can also pass on information anonymously to the Commission through the Anonymous Whistleblower's System on this Website.",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
19,Governance,Public Service Delivery,Kenya Ethics and Anti-Corruption Academy,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
20,Governance,Public Service Delivery,"EACC, Chinese anti-corruption agency explore closer cooperation in graft fightRead More",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
21,Governance,Public Service Delivery,EACC CEO calls for stronger regional cooperation to combat corruption in the fisheries sectorRead More,,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
22,Governance,Public Service Delivery,"EACC, CAJ strengthen partnership to advance integrity and good governanceRead More",,,,,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,
